Title,Track Num,Purchase Price Per Unit,Quantity,Item Total
Hanes Men's Pullover EcoSmart Hooded Sweatshirt,TBA037060437604,$14.96,1,$15.86
Amazon Essentials Men's Straight-fit Stretch Jean,TBA039022359004,$32.80,1,$34.77
Amazon Essentials Men's Full-Zip Polar Fleece Jacket,TBA037125720204,$20.50,1,$21.73
"Adjustable Laptop Stand for Desk, Nulaxy Ergonomic Portable Laptop Stand Up to 10.6"" with Heat-Vent , Laptop Riser Supports Upto 11Lbs, Compatible with MacBook Pro All Laptops 11-16""(Grey)",TBA038395195704,$28.99,1,$30.43
New Apple AirPods (3rd Generation),TBA042591968204,$174.99,3,$524.97
Nintendo Switch Lite - Yellow,,$199.00,1,$199.00
Nintendo Switch Lite - Turquoise,,$199.00,1,$199.00
New Apple AirPods Pro,TBA039124709404,$219.99,1,$219.99
"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – White (2019 Release)",TBA407786391000,$74.99,2,$149.98
"Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Plum (2019 Release)",1Z819YF60327873585,$74.99,2,$149.98
"Lenovo IdeaPad 1 14 14.0"" Laptop, 14.0"" HD (1366 x 768) Display, Intel Celeron N4020 Processor, 4GB DDR4 RAM, 64 GB SSD Storage, Intel UHD Graphics 600, Win 10 in S Mode, 81VU0079US, Ice Blue",TBA041187032604,$199.99,2,$399.98
"Anker Powerline III Flow, USB C to Lightning Cable for iPhone 13 13 Pro 12 11 X XS XR 8 Plus [MFi Certified, 3ft, Lilac Purple] Supports Power Delivery, Silicone Cable (Charger Not Included)",9374889687006731599607,$21.99,1,$23.31
"Anker 511 Charger (Nano Pro), Anker Nano Pro, 20W PIQ 3.0 Durable Compact Fast Charger, USB C Charger for iPhone 12/12 Mini/12 Pro/12 Pro Max/11, Pixel 4/3, iPad Pro, and More (Cable Not Included)",9374889687006731599607,$19.99,1,$21.19
"DEEPLITE LED Desk Lamp with Flexible Gooseneck 3 Level Brightness, Battery Operated Table Lamp 5W Touch Control, Compact Portable lamp for Dorm Study Office Bedroom, Eye-Caring and Energy Saving",TBA408363771000,$10.70,1,$11.34
"Anker USB C Hub for MacBook, PowerExpand Direct 7-in-2 USB C Adapter Compatible with Thunderbolt 3 USB C Port, 100W Power Delivery, 4K HDMI, USB C and 2 USB A Data Ports, SD and microSD Card Reader",TBA408363771000,$59.99,1,$63.59
"OTOFLY iPhone Xs Case/iPhone X Case,Ultra Slim Fit iPhone Case Liquid Silicone Gel Cover with Full Body Protection Anti-Scratch Shockproof Case Compatible with iPhone X/XS,Pink",TBA041791270904,$12.99,1,$13.77
Stance Men's BANNER Crew Sockshosiery M311B14BAN Classic Sock,TBA041791270904,$16.99,1,$18.01
Stance Sidereal,TBA041791270904,$16.99,1,$18.01
"Red Bull Energy Drink, 8.4 Fl Oz (24 Count)",TBA042961037204,$33.98,1,$33.98
"Apple Watch Series 7 GPS, 41mm Starlight Aluminum Case with Starlight Sport Band - Regular",,$399.00,1,$399.00
"Apple Watch Series 7 GPS, 45mm Midnight Aluminum Case with Midnight Sport Band - Regular",,$429.00,1,$429.00
"Apple Watch Series 7 GPS, 45mm Blue Aluminum Case with Abyss Blue Sport Band - Regular",,$429.00,1,$429.00
"Apple Watch Series 7 GPS, 41mm Midnight Aluminum Case with Midnight Sport Band - Regular",,$399.00,1,$399.00
"Apple Watch Series 7 GPS, 41mm Green Aluminum Case with Clover Sport Band - Regular",,$399.00,1,$399.00
"Apple Watch Series 7 GPS, 45mm Green Aluminum Case with Clover Sport Band - Regular",,$429.00,1,$429.00
"Apple Watch Series 7 GPS, 45mm Starlight Aluminum Case with Starlight Sport Band - Regular",,$429.00,1,$429.00
"OTOFLY iPhone 11 Case,Ultra Slim Fit iPhone Case Liquid Silicone Gel Cover with Full Body Protection Anti-Scratch Shockproof Case Compatible with iPhone 11 (Tea Green)",,$12.99,1,$13.77
"2020 Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray",TBA044783579504,$1175.00,1,$1175.00
Amazon Essentials Men's Stretch Woven Braid Belt,,$19.00,1,$20.14
"Corentium Home Radon Detector by Airthings 223 Portable, Lightweight, Easy-to-Use, (3) AAA Battery Operated, USA Version, pCi/L",,$99.00,1,$99.00
